SWN Append,KEYWORD,L,S,ADJ DEG,X,Z,QUADRANT,Sextant,Sector,Design ID (WindChill)
es9-cm260.1,MULTIPOLE,0,1019.60224,95.59977562,60.23695917,-614.3688074,NW,9,9,
es9-dv260,MULTIPOLE,0,1019.60224,95.59977562,60.23695917,-614.3688074,NW,9,9,
es9-cm260.1,SBEND,0.891400429,1019.60224,95.59977562,60.23695917,-614.3688074,NW,9,9,
es9-dv260,SBEND,0.891400429,1019.60224,95.59977562,60.23695917,-614.3688074,NW,9,9,
es9-cm260.2,MULTIPOLE,0,1019.86064,95.62371466,60.49210332,-614.3279147,NW,9,9,
es9-dt260,MULTIPOLE,0,1019.86064,95.62371466,60.49210332,-614.3279147,NW,9,9,
es9-cm260.2,DRIFT,0.258400373,1019.86064,95.62371466,60.49210332,-614.3279147,NW,9,9,
es9-dt260,DRIFT,0.258400373,1019.86064,95.62371466,60.49210332,-614.3279147,NW,9,9,
es9-cm257,MULTIPOLE,0,1022.58671,95.8762611,63.18153731,-613.8825224,NW,9,9,
es9-dv257,MULTIPOLE,0,1022.58671,95.8762611,63.18153731,-613.8825224,NW,9,9,
es9-cm257,SBEND,2.726077105,1022.58671,95.8762611,63.18153731,-613.8825224,NW,9,9,
es9-dv257,SBEND,2.726077105,1022.58671,95.8762611,63.18153731,-613.8825224,NW,9,9,
es9-dt257,DRIFT,0.507,1023.09371,95.92323023,63.68128735,-613.7970888,NW,9,9,
es9-sx256,SEXTUPOLE,0.57,1023.66371,95.97604183,64.2431365,-613.7010392,NW,9,9,
es9-dt256.1,DRIFT,0.163,1023.82671,95.99114526,64.40380565,-613.6735724,NW,9,9,
es9-q256,QUADRUPOLE,0.5,1024.20171,96.02589439,64.77344325,-613.6103819,NW,9,9,
es9-dt256.2,DRIFT,0.064,1024.39071,96.04340897,64.9597406,-613.5785338,NW,9,9,
es9-ks255,VKICKER,0.2,1024.59071,96.06194367,65.15688065,-613.5448322,NW,9,9,
es9-cm255,MULTIPOLE,0,1024.88493,96.0892111,65.44688963,-613.4952544,NW,9,9,
es9-dt255,MULTIPOLE,0,1024.88493,96.0892111,65.44688963,-613.4952544,NW,9,9,
es9-cm255,DRIFT,0.294216192,1024.88493,96.0892111,65.44688963,-613.4952544,NW,9,9,
es9-dt255,DRIFT,0.294216192,1024.88493,96.0892111,65.44688963,-613.4952544,NW,9,9,
es9-cm252.1,MULTIPOLE,0,1027.61101,96.34185366,68.13154876,-613.0219312,NW,9,9,
es9-dv252,MULTIPOLE,0,1027.61101,96.34185366,68.13154876,-613.0219312,NW,9,9,
es9-cm252.1,SBEND,2.726077105,1027.61101,96.34185366,68.13154876,-613.0219312,NW,9,9,
es9-dv252,SBEND,2.726077105,1027.61101,96.34185366,68.13154876,-613.0219312,NW,9,9,
es9-cm252.2,MULTIPOLE,0,1027.86941,96.36580066,68.38578773,-612.9757436,NW,9,9,
es9-dt252,MULTIPOLE,0,1027.86941,96.36580066,68.38578773,-612.9757436,NW,9,9,
es9-cm252.2,DRIFT,0.258400373,1027.86941,96.36580066,68.38578773,-612.9757436,NW,9,9,
es9-dt252,DRIFT,0.258400373,1027.86941,96.36580066,68.38578773,-612.9757436,NW,9,9,
es9-cm251.1,MULTIPOLE,0,1028.76081,96.44841121,69.26256012,-612.8149203,NW,9,9,
es9-dv251,MULTIPOLE,0,1028.76081,96.44841121,69.26256012,-612.8149203,NW,9,9,
es9-cm251.1,SBEND,0.891400429,1028.76081,96.44841121,69.26256012,-612.8149203,NW,9,9,
es9-dv251,SBEND,0.891400429,1028.76081,96.44841121,69.26256012,-612.8149203,NW,9,9,
es9-cm251.2,MULTIPOLE,0,1029.01921,96.47235874,69.51664063,-612.7678687,NW,9,9,
es9-dt251,MULTIPOLE,0,1029.01921,96.47235874,69.51664063,-612.7678687,NW,9,9,
es9-cm251.2,DRIFT,0.258400373,1029.01921,96.47235874,69.51664063,-612.7678687,NW,9,9,
es9-dt251,DRIFT,0.258400373,1029.01921,96.47235874,69.51664063,-612.7678687,NW,9,9,
es9-cm248,MULTIPOLE,0,1031.74528,96.72499393,72.19451582,-612.257561,NW,9,9,
es9-dv248,MULTIPOLE,0,1031.74528,96.72499393,72.19451582,-612.257561,NW,9,9,
es9-cm248,SBEND,2.726077105,1031.74528,96.72499393,72.19451582,-612.257561,NW,9,9,
es9-dv248,SBEND,2.726077105,1031.74528,96.72499393,72.19451582,-612.257561,NW,9,9,
es9-dt248,DRIFT,0.5,1032.24528,96.77133083,72.68518405,-612.1614117,NW,9,9,
es9-sx248,SEXTUPOLE,0.24,1032.48528,96.79357455,72.9207048,-612.1152601,NW,9,9,
es9-dt247.1,DRIFT,0.104,1032.58928,96.80321391,73.02276379,-612.095261,NW,9,9,
es9-sx247,SEXTUPOLE,0.24,1032.82928,96.82545949,73.25828455,-612.0491094,NW,9,9,
es9-dt247.2,DRIFT,0.156,1032.98528,96.83991981,73.41137304,-612.0191108,NW,9,9,
es9-q247,QUADRUPOLE,0.5,1033.36028,96.8746824,73.77937421,-611.9469988,NW,9,9,
es9-dt246.1,DRIFT,0.064,1033.54928,96.89220393,73.9648468,-611.9106544,NW,9,9,
es9-ks246,HKICKER,0.2,1033.74928,96.91074608,74.1611141,-611.8721947,NW,9,9,
es9-cm246,MULTIPOLE,0,1034.0435,96.93802469,74.44983917,-611.8156173,NW,9,9,
es9-dt246.2,MULTIPOLE,0,1034.0435,96.93802469,74.44983917,-611.8156173,NW,9,9,
es9-cm246,DRIFT,0.294216192,1034.0435,96.93802469,74.44983917,-611.8156173,NW,9,9,
es9-dt246.2,DRIFT,0.294216192,1034.0435,96.93802469,74.44983917,-611.8156173,NW,9,9,
es9-cm243.1,MULTIPOLE,0,1036.76958,97.19077009,77.12226538,-611.2775024,NW,9,9,
es9-dv243,MULTIPOLE,0,1036.76958,97.19077009,77.12226538,-611.2775024,NW,9,9,
es9-cm243.1,SBEND,2.726077105,1036.76958,97.19077009,77.12226538,-611.2775024,NW,9,9,
