Device abbr,atr_use,rhic_use,slot,ags_use,booster_use,linac_use,ebis_use,other,Description,Notes,New Device,EIC Lattice Keyword
qac,0,1,0,0,0,0,0,0,AC quadrupole for tune modulation,,FALSE,
qd,0,1,0,0,0,0,0,0,defocusing quadrupole (horizontal plane),,FALSE,
qdr,0,0,0,0,0,0,0,0,quadrupole lens inside a drift tube (linac),,FALSE,
qf,0,1,0,0,0,0,0,0,focusing quadrupole (horizontal plane),,FALSE,
qfjmp,0,0,0,1,0,0,0,0,tune jump quads for jumping horiz polarization resonances,,FALSE,
qgt,0,1,0,0,0,0,0,0,gamma t quadrupole,,FALSE,
qs,0,1,0,0,0,0,0,0,skew quadrupole,,FALSE,SKEW QUADRUPOLE
qtrimh,0,0,0,0,1,0,0,0,combined with main ps to adjust horiz tune quads,,FALSE,
qtrimv,0,0,0,0,1,0,0,0,combined with main ps to adjust vert tune quads,,FALSE,
rf,0,1,1,0,0,0,0,0,Radio Frequency equipment slot,,FALSE,
rfq,0,0,0,0,0,1,1,0,radio frequency quadrupole,,FALSE,
rot,0,1,1,0,0,0,0,0,spin rotator composed of four helical magnets,,FALSE,
rp,0,1,0,0,0,0,0,0,Roman pot,,FALSE,
rtdl,1,1,0,0,0,0,0,0,real time data link (for FEC names),,FALSE,
rv,1,0,0,0,0,0,0,0,roughing valve,,FALSE,
sc,0,0,0,0,1,0,0,0,scintillation chamber,,FALSE,
scb,1,0,0,0,0,0,0,0,small coil bottom (atr dipoles),,FALSE,
sct,1,0,0,0,0,0,0,0,small coil top (atr dipoles),,FALSE,
sl,0,1,0,0,0,0,0,0,strip line (fixed use not specified),,FALSE,
slot,0,1,1,0,0,0,0,0,Generic slot,,FALSE,
snk,0,1,1,0,0,0,0,0,snake composed of 4 helical magnets,,FALSE,
sol,0,1,0,0,0,0,0,0,solenoid,,FALSE,SOLENOID
sptm,0,0,0,0,1,0,0,0,septum magnet for injection or extraction,,FALSE,
spu,0,1,0,0,0,0,0,0,Schottky cavity pickup,,FALSE,
spuh,0,1,0,0,0,0,0,0,horizontal Schottky cavity pickup,,FALSE,
spul,0,1,0,0,0,0,0,0,longitudinal Schottky cavity pickup,,FALSE,
spuv,0,1,0,0,0,0,0,0,vertical Schottky cavity pickup,,FALSE,
src,0,0,0,0,0,0,0,0,ion source for EBIS,,FALSE,
sv,1,1,0,0,0,0,0,0,sector valve (gate valve),,FALSE,
swic,1,0,0,0,0,0,0,0,secondary wire ionization chamber,,FALSE,
swm,1,0,0,0,0,0,0,0,switching magnet (between X and Y lines of ATR),,FALSE,
sx,0,0,0,0,0,0,0,0,sextupole,,FALSE,SEXTUPOLE
